ECG,EDA,Photosensor,RSP
-0.015869141,13.19686771,5,0.778930664
-0.011703491,13.19717288,5,0.777587891
-0.009765625,13.1970203,5,0.777435303
-0.013320923,13.19763065,5,0.777557373
-0.00958252,13.19671512,5,0.775299072
-0.006622314,13.18679691,5,0.774932861
-0.006347656,13.18557621,5,0.774841309
-0.006744385,13.18481327,5,0.775146484
-0.002258301,13.18496585,5,0.774932861
-0.005172729,13.18481327,5,0.772735596
-0.004074097,13.18405033,5,0.772613525
-0.001907349,13.18267704,5,0.772491455
0.002471924,13.18511844,5,0.772460938
0.00352478,13.18527103,5,0.77255249
0.006866455,13.18389774,5,0.772827148
0.008834839,13.18328739,5,0.772613525
0.014251709,13.1843555,5,0.772491455
0.01335144,13.18389774,5,0.770263672
0.018814087,13.18405033,5,0.770263672
0.015518188,13.18405033,5,0.770172119
0.017120361,13.18542362,5,0.77041626
0.015533447,13.18633914,5,0.769989014
0.012695313,13.18466068,5,0.770050049
0.011856079,13.1843555,5,0.770019531
0.015045166,13.18466068,5,0.770324707
0.00920105,13.18511844,5,0.770202637
0.009613037,13.18450809,5,0.770141602
0.009887695,13.18511844,5,0.770080566
0.014816284,13.18466068,5,0.770294189
0.009674072,13.18420291,5,0.770019531
0.006729126,13.18405033,5,0.770111084
0.009094238,13.18389774,5,0.770629883
0.017669678,13.18557621,5,0.77243042
0.017883301,13.18527103,5,0.772888184
0.02230835,13.18511844,5,0.773529053
0.03137207,13.18588138,5,0.774932861
0.033874512,13.18466068,5,0.775726318
0.013656616,13.18466068,5,0.77734375
0.000488281,13.18405033,5,0.779449463
-0.008453369,13.18511844,5,0.780548096
-0.008666992,13.18496585,5,0.782714844
-0.012771606,13.18618656,5,0.784851074
-0.016418457,13.18511844,5,0.787475586
-0.018066406,13.18557621,5,0.789794922
-0.011123657,13.18511844,5,0.792419434
-0.04284668,13.18572879,5,0.795196533
-0.051773071,13.18618656,5,0.798370361
0.065856934,13.18450809,5,0.801513672
0.320266724,13.18450809,5,0.805297852
0.613098145,13.18481327,5,0.80859375
0.43145752,13.18450809,5,0.812683105
-0.117843628,13.18572879,5,0.81640625
-0.387527466,13.18267704,5,0.820159912
-0.365020752,13.17214847,5,0.824523926
